"title","year_release","box_office","director","number_of_subjects","type_of_subject","subject_race","subject_sex"
"Lust for Life",1956,NA,"Vincente Minnelli",1,"Artist","White","Male"
"Luther",2003,5670000,"Eric Till",1,"Historical","White","Male"
"MacArthur",1977,NA,"Joseph Sargent",1,"Military","White","Male"
"Machine Gun Preacher",2011,538000,"Marc Forster",1,"Other","White","Male"
"Machine-Gun Kelly",1958,NA,"Roger Corman",1,"Criminal",NA,"Male"
"Madame Curie",1943,NA,"Mervyn LeRoy",2,"Academic","White","Male"
"Madame Curie",1943,NA,"Mervyn LeRoy",2,"Academic","White","Female"
"Mahler",1974,NA,"Ken Russell",2,"Musician","White","Male"
"Mahler",1974,NA,"Ken Russell",2,"Other",NA,"Female"
"Malcolm X",1992,48200000,"Spike Lee",1,"Activist","African","Male"
"Man of a Thousand Faces",1957,NA,"Joseph Pevney",1,"Actor","White","Male"
"Man on the Moon",1999,34600000,"Milos Forman",1,"Comedian",NA,"Male"
"Mandela: Long Walk to Freedom",2013,8320000,"Justin Chadwick",1,"World leader","African","Male"
"Marie Antoinette",1938,NA,"W.S. Van Dyke",1,"Historical","White","Female"
"Marie Antoinette",2006,1.6e+07,"Sofia Coppola",1,"Historical","White","Female"
"Mary of Scotland",1936,NA,"John Ford",1,"Historical","White","Female"
"Mary, Queen of Scots",1971,NA,"Charles Jarrott",1,"Historical","White","Female"
"Mask",1985,42400000,"Peter Bogdanovich",1,"Other","White","Male"
"Meetings with Remarkable Men",1979,NA,"Peter Brook",1,"Other","White","Male"
"Men of Honor",2000,48800000,"George Tillman Jr.",1,"Athlete","African","Male"
"Mesmer",1994,NA,"Roger Spottiswoode",1,"Medicine","White","Male"
"Mesrine Part 1: Killer Instinct",2008,552000,"Jean-Fran<U+0324>ois Richet",1,"Criminal","White","Male"
"Mesrine Part 2: Public Enemy #1",2008,275000,"Jean-Fran<U+0324>ois Richet",1,"Criminal","White","Male"
"Michael Collins",1996,1.1e+07,"Neil Jordan",1,"Activist","White","Male"
"Midnight Express",1978,3.5e+07,"Alan Parker",1,"Criminal",NA,"Male"
"Milk",2008,31800000,"Gus Van Sant",1,"Activist","White","Male"
"Million Dollar Arm",2014,36400000,"Craig Gillespie",1,"Athlete","White","Male"
"Million Dollar Mermaid",1952,NA,"Mervyn LeRoy",1,"Athlete","White","Female"
"Miracle",2004,64400000,"Gavin O'Connor",1,"Athlete",NA,"Male"
"Mishima: A Life in Four Chapters",1985,450000,"Paul Schrader",1,"Author","Asian","Male"
"Miss Potter",2006,2980000,"Chris Noonan",1,"Author","White","Female"
"Mockingbird Don't Sing",2001,NA,"Harry Bromley Davenport",1,"Other",NA,"Female"
"Modigliani",2004,195000,"Mick Davis",1,"Artist","White","Male"
"Mommie Dearest",1981,NA,"Frank Perry",1,"Actress","White","Female"
"Moneyball",2011,75600000,"Bennett Miller",1,"Athlete","White","Male"
"Monsieur N.",2003,16800,"Antoine de Caunes",1,"Historical","White","Male"
"Monster",2003,34500000,"Patty Jenkins",1,"Criminal",NA,"Female"
"Moulin Rouge",1952,NA,"John Huston",1,"Artist",NA,"Male"
"Mr. Nice",2010,NA,"Bernard Rose",1,"Criminal",NA,"Male"
"Mr. Turner",2014,3960000,"Mike Leigh",1,"Artist","White","Male"
"Mrs Brown",1997,9220000,"John Madden",1,"Historical","White","Female"
"Mrs. Parker and the Vicious Circle",1994,2140000,"Alan Rudolph",1,"Author","White","Female"
"Muhammad: The Last Prophet",2002,NA,"Richard Rich",1,"Historical","Middle Eastern","Male"
"Murder, Inc.",1960,NA,"Burt Balaban, Stuart Rosenberg",1,"Other",NA,"Male"
"Music Within",2007,153000,"Steven Sawalich",1,"Activist","Multi racial","Male"
"My Childhood",1972,NA,"Bill Douglas",1,"Other",NA,"Male"
"My Dinner with Andre",1981,5070,"Louis Malle",2,"Actor","White","Male"
"My Dinner with Andre",1981,5070,"Louis Malle",2,"Actor","White","Male"
"My Left Foot",1989,14700000,"Jim Sheridan",1,"Artist","White","Male"
"My Life So Far",1999,616000,"Hugh Hudson",1,"Other","White","Male"
"My One and Only",2009,2480000,"Richard Loncraine",1,"Other","White","Male"
"My Week with Marilyn",2011,14600000,"Simon Curtis",1,"Actress",NA,"Female"
"Ned Kelly",2003,74900,"Gregor Jordan",1,"Criminal","White","Male"
"Nicholas and Alexandra",1971,NA,"Franklin J. Schaffner",2,"Historical","White","Female"
"Nicholas and Alexandra",1971,NA,"Franklin J. Schaffner",2,"Historical","White","Male"
"Night and Day",1946,NA,"Michael Curtiz",1,"Musician",NA,"Male"
"Nightwatching",2007,NA,"Peter Greenaway",1,"Artist","White","Male"
"Nixon",1995,13600000,"Oliver Stone",1,"World leader","White","Male"
"Nora",2000,12300,"Pat Murphy",2,"Author","White","Male"
"Nora",2000,12300,"Pat Murphy",2,"Other",NA,"Female"
"Nostradamus",1994,364000,"Roger Christian",1,"Historical",NA,"Male"
"Notorious",2009,36800000,"George Tillman Jr.",1,"Musician","Caribbean","Male"
"Nowhere Boy",2009,1450000,"Sam Taylor-Johnson",1,"Musician","White","Male"
"October Sky",1999,32500000,"Joe Johnston",1,"Other","Multi racial","Male"
"One Chance",2013,89700,"David Frankel",1,"Musician",NA,"Male"
"One Foot in Heaven",1941,NA,"Irving Rapper",1,"Other","White","Male"
"One Night with the King",2006,13400000,"Michael O. Sajbel",1,"Historical","Middle Eastern","Female"
"Open Water",2003,30500000,"Chris Kentis",2,"Other",NA,"Female"
"Open Water",2003,30500000,"Chris Kentis",2,"Other",NA,"Male"
"Out of Africa",1985,87100000,"Sydney Pollack",1,"Other","White","Female"
"Pandaemonium",2000,NA,"Julien Temple",2,"Author (poet)",NA,"Male"
"Pandaemonium",2001,NA,"Julien Temple",2,"Author (poet)",NA,"Male"
"Papillon",1973,53300000,"Franklin J. Schaffner",1,"Criminal","White","Male"
"Party Monster",2003,297000,"Fenton Bailey, Randy Barbato",1,"Criminal",NA,"Male"
"Patch Adams",1998,1.35e+08,"Tom Shadyac",1,"Medicine",NA,"Male"
"Patton",1970,NA,"Franklin J. Schaffner",1,"Military","White","Male"
"Patty Hearst",1988,1220000,"Paul Schrader",1,"Other","White","Female"
"Permanent Midnight",1998,1170000,"David Veloz",1,"Comedian","White","Male"
"Persepolis",2007,4440000,"Vincent Paronnaud, Marjane Satrapi",1,"Activist","Middle Eastern","Female"
"Phantom Punch",2008,NA,"Robert Townsend",1,"Athlete","African","Male"
"Philomena",2013,37700000,"Stephen Frears",1,"Other","White","Female"
"Pierrepoint: The Last Hangman",2005,21800,"Adrian Shergold",1,"Other","White","Male"
"Pi_ero",2001,1420000,"Leon Ichaso",1,"Actor","Hispanic","Male"
"Pollock",2000,8600000,"Ed Harris",1,"Artist","White","Male"
"Prefontaine",1997,532000,"Steve James",1,"Athlete","White","Male"
"Prick Up Your Ears",1987,1650000,"Stephen Frears",2,"Author",NA,"Male"
"Prick Up Your Ears",1987,1650000,"Stephen Frears",2,"Other",NA,"Male"
"Pride of the Marines",1945,NA,"Delmer Daves",1,"Military","White","Male"
"Private Parts",1997,41200000,"Betty Thomas",1,"Media","White","Male"
"PT 109",1963,NA,"Leslie H. Martinson",1,"Military","White","Male"
"Public Enemies",2009,9.7e+07,"Michael Mann",1,"Criminal",NA,"Male"
"Queen Christina",1933,NA,"Rouben Mamoulian",1,"Historical","White","Female"
"Quills",2000,7060000,"Philip Kaufman",1,"Criminal","White","Male"
"Quo Vadis",1951,NA,"Mervyn LeRoy",2,"Historical","White","Female"
"Quo Vadis",1951,NA,"Mervyn LeRoy",2,"Historical","White","Male"
"Radio",2003,52300000,"Michael Tollin",2,"Athlete","African","Male"
"Radio",2003,52300000,"Michael Tollin",2,"Athlete",NA,"Male"
"Ragamuffin",2014,NA,"David Schultz",1,"Singer","White","Male"
"Raging Bull",1980,45200,"Martin Scorsese",1,"Athlete","White","Male"
"Rasputin: The Mad Monk",1966,NA,"Don Sharp",1,"Other","White","Male"
"Ray",2004,75300000,"Taylor Hackford",1,"Musician","African","Male"
"Reach for the Sky",1956,NA,"Lewis Gilbert",1,"Military",NA,"Male"
"Reds",1981,NA,"Warren Beatty",1,"Media","White","Male"
"Regeneration",1915,NA,"Raoul Walsh",1,"Other","White","Male"
"Rembrandt",1936,NA,"Alexander Korda",1,"Artist","White","Male"
"Remember the Titans",2000,1.16e+08,"Boaz Yakin",1,"Athlete","African","Male"
"Rescue Dawn",2006,5480000,"Werner Herzog",1,"Military","White","Male"
"Restoration",1995,4100000,"Michael Hoffman",1,"Historical","White","Male"
"Reversal of Fortune",1990,15400000,"Barbet Schroeder",2,"Other","White","Male"
"Reversal of Fortune",1990,15400000,"Barbet Schroeder",2,"Other","White","Female"
"Rhapsody in Blue",1945,NA,"Irving Rapper",1,"Musician","White","Male"
"Richard III",1955,NA,"Laurence Olivier",1,"Historical","White","Male"
"Ricky 6",2000,NA,"Peter Filardi",1,"Criminal",NA,"Male"
"Riding in Cars with Boys",2001,29800000,"Penny Marshall",1,"Other",NA,"Female"
"Rise of the Footsoldier",2007,NA,"Julian Gilbey",1,"Criminal",NA,"Male"
"Rob Roy",1995,31600000,"Michael Caton-Jones",1,"Other","White","Male"
"Romero",1989,1320000,"John Duigan",1,"Other","Hispanic","Male"
"Rosewater",2014,3090000,"Jon Stewart",1,"Media","Middle Eastern","Male"
"Rudy",1993,22800000,"David Anspaugh",1,"Athlete",NA,"Male"
"Rush",2013,26900000,"Ron Howard",2,"Athlete","White","Male"
"Rush",2013,26900000,"Ron Howard",2,"Athlete","White","Male"
"Saint Joan",1957,NA,"Otto Preminger",1,"Historical","White","Female"
"Salome's Last Dance",1988,331000,"Ken Russell",1,"Author","White","Male"
"Santa Fe Trail",1940,NA,"Michael Curtiz",1,"Other","White","Male"
"Savage Messiah",1972,NA,"Ken Russell",1,"Artist",NA,"Male"
"Saving Mr. Banks",2013,83300000,"John Lee Hancock",2,"Other","White","Male"
"Saving Mr. Banks",2013,83300000,"John Lee Hancock",2,"Author","White","Female"
"Schindler's List",1993,96100000,"Steven Spielberg",1,"Other","White","Male"
"Scott of the Antarctic",1948,NA,"Charles Frend",1,"Other","White","Male"
"Searching for Bobby Fischer",1993,7270000,"Steven Zaillian",1,"Other",NA,"Male"
"Selena",1997,35400000,"Gregory Nava",1,"Singer","Hispanic","Female"
"Self Medicated",2005,98800,"Monty Lapica",1,"Other",NA,"Male"
"Selma",2014,52100000,"Ava DuVernay",1,"Activist","African","Male"
"Sergeant York",1941,16400000,"Howard Hawks",1,"Military","White","Male"
"Serpico",1973,NA,"Sidney Lumet",1,"Other","White","Male"
"Set Fire to the Stars",2014,3270,"Andy Goddard",1,"Author (poet)","White","Male"
"Seven Years in Tibet",1997,37900000,"Jean-Jacques Annaud",1,"Other","White","Male"
"Sex & Drugs & Rock & Roll",2010,NA,"Mat Whitecross",1,"Musician",NA,"Male"
"Shadowlands",1993,25800000,"Richard Attenborough",2,"Author","White","Male"
"Shadowlands",1993,25800000,"Richard Attenborough",2,"Author (poet)","White","Female"
"Sid and Nancy",1986,2830000,"Alex Cox",2,"Singer",NA,"Male"
"Sid and Nancy",1986,2830000,"Alex Cox",2,"Other",NA,"Female"
"Silkwood",1983,35600000,"Mike Nichols",1,"Activist",NA,"Female"
"Sister Kenny",1946,NA,"Dudley Nichols",1,"Medicine","White","Female"
"Sixty Six",2006,225000,"Paul Weiland",1,"Other",NA,"Male"
"Skin",2008,NA,"Anthony Fabian",1,"Other","African","Female"
"Somebody Up There Likes Me",1956,NA,"Robert Wise",1,"Athlete","White","Male"
"Son of God",2014,59700000,"Christopher Spencer",1,"Historical","Middle Eastern","Male"
"Soul Surfer",2011,43900000,"Sean McNamara",1,"Athlete",NA,"Female"
"Spartacus",1960,NA,"Stanley Kubrick",1,"Historical",NA,"Male"
"Spitfire",1942,NA,"Leslie Howard",1,"Military","White","Male"
"Squanto: A Warrior's Tale",1994,3340000,"Xavier Koller",1,"Historical","Native American","Male"
"Stander",2003,19100,"Bronwen Hughes",1,"Other","White","Male"
"Star 80",1983,6500000,"Bob Fosse",1,"Actress","White","Female"
"Star!",1968,4e+06,"Robert Wise",1,"Actress","White","Female"
"Stars and Stripes Forever",1952,NA,"Henry Koster",1,"Musician","White","Male"
"Steal This Movie",2000,76100,"Robert Greenwald",1,"Activist","White","Male"
"Stealing Sinatra",2003,NA,"Ron Underwood",2,"Criminal",NA,"Male"
"Stealing Sinatra",2003,NA,"Ron Underwood",2,"Other","White","Male"
"Stoned",2005,NA,"Stephen Woolley",1,"Musician","White","Male"
"Story of G.I. Joe",1945,NA,"William A. Wellman",1,"Media",NA,"Male"
"Strauss' Great Waltz",1934,NA,"Alfred Hitchcock",2,"Musician","White","Male"
"Strauss' Great Waltz",1934,NA,"Alfred Hitchcock",2,"Musician","White","Male"
"Sunrise at Campobello",1960,NA,"Vincent J. Donehue",1,"World leader","White","Male"
"Surviving Picasso",1996,1990000,"James Ivory",1,"Artist","White","Female"
"Sweet Dreams",1985,NA,"Karel Reisz",1,"Singer","White","Female"
"Swimming Upstream",2003,47200,"Russell Mulcahy",1,"Athlete",NA,"Male"
"Swoon",1992,340000,"Tom Kalin",2,"Criminal","White","Male"
"Swoon",1992,340000,"Tom Kalin",2,"Criminal","White","Male"
"Sylvia",2003,1300000,"Christine Jeffs",2,"Author (poet)","White","Female"
"Sylvia",2003,1300000,"Christine Jeffs",2,"Author (poet)","White","Male"
"Talk to Me",2007,4470000,"Kasi Lemmons",1,"Activist","African","Male"
"Ted Bundy",2002,NA,"Matthew Bright",1,"Criminal","White","Male"
"Telstar: The Joe Meek Story",2008,NA,"Nick Moran",1,"Musician","White","Male"
"Testament of Youth",2014,671000,"James Kent",1,"Other",NA,"Female"
"The 5th Quarter",2010,4e+05,"Rick Bieber",1,"Athlete",NA,"Male"
"The Actress",1953,NA,"George Cukor",1,"Actress",NA,"Female"
"The Adventures of Marco Polo",1938,NA,"Archie Mayo",1,"Historical","White","Male"
"The Adventures of Mark Twain",1944,NA,"Irving Rapper",1,"Author","White","Male"
"The Assassination of Jesse James by the Coward Robert Ford",2007,3900000,"Andrew Dominik",2,"Criminal","White","Male"
"The Assassination of Jesse James by the Coward Robert Ford",2007,3900000,"Andrew Dominik",2,"Criminal",NA,"Male"
"The Assassination of Richard Nixon",2004,698000,"Niels Mueller",1,"Other",NA,"Male"
"The Assassination of Trotsky",1972,NA,"Joseph Losey",1,"Activist","White","Male"
"The Aviator",2004,1.03e+08,"Martin Scorsese",1,"Other",NA,"Male"
"The Babe",1992,17500000,"Arthur Hiller",1,"Athlete","White","Male"
"The Babe Ruth Story",1948,NA,"Roy Del Ruth",1,"Athlete","White","Male"
"The Bang Bang Club",2010,NA,"Steven Silver",4,"Media",NA,"Male"
"The Bang Bang Club",2010,NA,"Steven Silver",4,"Media","White","Male"
"The Bang Bang Club",2010,NA,"Steven Silver",4,"Media",NA,"Male"
"The Bang Bang Club",2010,NA,"Steven Silver",4,"Media","White","Male"
"The Barretts of Wimpole Street",1934,NA,"Sidney Franklin",2,"Author (poet)","Multi racial","Female"
"The Barretts of Wimpole Street",1934,NA,"Sidney Franklin",2,"Author (poet)","Multi racial","Male"
"The Basketball Diaries",1995,2420000,"Scott Kalvert",1,"Author","White","Male"
"The Benny Goodman Story",1956,NA,"Valentine Davies",1,"Musician","White","Male"
"The Best Intentions",1992,1300000,"Bille August",2,"Other",NA,"Male"
"The Best Intentions",1992,1300000,"Bille August",2,"Other",NA,"Female"
"The Better Angels",2014,NA,"A.J. Edwards",1,"World leader","White","Male"
"The Blind Side",2009,2.56e+08,"John Lee Hancock",1,"Athlete","African","Male"
"The Boy in Blue",1986,275000,"Charles Jarrott",1,"Athlete","White","Male"
"The Brittany Murphy Story",2014,NA,"Joe Menendez",1,"Actress","White","Female"
"The Broken Tower",2011,NA,"James Franco",1,"Author (poet)",NA,"Male"
"The Buddy Holly Story",1978,NA,"Steve Rash",1,"Singer","Multi racial","Male"
"The Chameleon",2010,NA,"Jean-Paul Salom<U+0329>",1,"Criminal","Multi racial","Male"
"The Color of Freedom",2007,NA,"Bille August",1,"Other","White","Male"
"The Color of Time",2012,NA,"Edna Luise Biesold, Sarah-Violet Bliss",1,"Author",NA,"Male"
"The Conqueror",1956,4500000,"Dick Powell",1,"Military","Asian","Male"
"The Countess",2009,NA,"Julie Delpy",1,"Historical","White","Female"
"The Court-Martial of Billy Mitchell",1955,NA,"Otto Preminger",1,"Military","White","Male"
"The Cross and the Switchblade",1970,NA,"Don Murray",1,"Other",NA,"Male"
"The Damned United",2009,450000,"Tom Hooper",1,"Athlete",NA,"Male"
"The Desert Fox: The Story of Rommel",1951,NA,"Henry Hathaway",1,"Military","White","Male"
"The Diary of Anne Frank",1959,NA,"George Stevens",1,"Other","White","Female"
"The Diving Bell and the Butterfly",2007,5990000,"Julian Schnabel",1,"Media","White","Male"
"The Doors",1991,35200000,"Oliver Stone",1,"Singer","White","Male"
"The Duchess",2008,13800000,"Saul Dibb",1,"Other","White","Female"
"The Eddy Duchin Story",1956,NA,"George Sidney",1,"Musician",NA,"Male"
"The Edge of Love",2008,28600,"John Maybury",1,"Author (poet)","White","Male"
"The Elephant Man",1980,NA,"David Lynch",1,"Other","White","Male"
"The Entity",1982,NA,"Sidney J. Furie",1,"Other",NA,"Female"
"The Express",2008,9590000,"Gary Fleder",1,"Athlete","African","Male"
"The Falcon and the Snowman",1985,17100000,"John Schlesinger",1,"Criminal",NA,"Male"
"The Fifth Estate",2013,3250000,"Bill Condon",1,"Other","White","Male"
"The Fighter",2010,93600000,"David O. Russell",1,"Athlete","White","Male"
"The First Grader",2010,331000,"Justin Chadwick",1,"Other","African","Male"
"The Five Pennies",1959,NA,"Melville Shavelson",1,"Musician",NA,"Male"
"The Frozen Ground",2013,NA,"Scott Walker",2,"Other",NA,"Male"
"The Frozen Ground",2013,NA,"Scott Walker",2,"Criminal","White","Male"
"The Gallant Hours",1960,NA,"Robert Montgomery",1,"Military","White","Male"
"The Gaul",2001,NA,"Jacques Dorfmann",1,"Historical","White","Male"
"The General",1998,1210000,"John Boorman",1,"Criminal","White","Male"
"The Girl in the Red Velvet Swing",1955,NA,"Richard Fleischer",1,"Actress","White","Female"
"The Glenn Miller Story",1954,NA,"Anthony Mann",1,"Musician","White","Male"
"The Great Caruso",1951,NA,"Richard Thorpe",1,"Musician","White","Male"
"The Great Debaters",2007,30200000,"Denzel Washington",1,"Academic","African","Male"
"The Great Moment",1944,NA,"Preston Sturges",1,"Medicine",NA,"Male"
"The Great Waltz",1938,NA,"Julien Duvivier",1,"Musician","White","Male"
"The Great Ziegfeld",1936,NA,"Robert Z. Leonard",1,"Musician","White","Male"
"The Greatest",1977,NA,"Tom Gries",1,"Athlete","African","Male"
"The Greatest Story Ever Told",1965,8e+06,"George Stevens",1,"Historical","Middle Eastern","Male"
"The Grey Fox",1982,NA,"Phillip Borsos",1,"Other",NA,"Male"
"The Hammer",2010,NA,"Oren Kaplan",1,"Athlete",NA,"Male"
"The Happy Hooker",1975,NA,"Nicholas Sgarro",1,"Other","White","Female"
"The House of Rothschild",1934,NA,"Alfred L. Werker",1,"Other","White","Male"
"The Hunter",1980,NA,"Buzz Kulik",1,"Other",NA,"Male"
"The Hurricane",1999,50700000,"Norman Jewison",1,"Athlete","African","Male"
"The Iceman",2012,1940000,"Ariel Vromen",1,"Criminal","White","Male"
"The Idolmaker",1980,NA,"Taylor Hackford",1,"Other",NA,"Male"
"The Imitation Game",2014,91100000,"Morten Tyldum",1,"Academic","White","Male"
"The Inn of the Sixth Happiness",1958,NA,"Mark Robson",1,"Other","White","Female"
"The Insider",1999,2.9e+07,"Michael Mann",1,"Activist",NA,"Male"
"The Invisible Woman",2013,1230000,"Ralph Fiennes",1,"Author","White","Male"
"The Iron Lady",2011,3e+07,"Phyllida Lloyd",1,"World leader","White","Female"
"The Jackie Robinson Story",1950,NA,"Alfred E. Green",1,"Athlete","African","Male"
"The Jesus Film",1979,NA,"John Krish, Peter Sykes",1,"Historical","Middle Eastern","Male"
"The Jolson Story",1946,NA,"Alfred E. Green",1,"Musician","White","Male"
"The King and I",1956,NA,"Walter Lang",1,"Other","Multi racial","Female"
"The King of Kings",1927,NA,"Cecil B. DeMille",1,"Historical","Middle Eastern","Male"
"The King's Speech",2010,1.39e+08,"Tom Hooper",1,"Historical","White","Male"
"The Krays",1990,2060000,"Peter Medak",2,"Criminal","Multi racial","Male"
"The Krays",1990,2060000,"Peter Medak",2,"Criminal","Multi racial","Male"
"The Lady",2011,NA,"Luc Besson",1,"Activist","Asian","Female"
"The Last Emperor",1987,109000,"Bernardo Bertolucci",1,"World leader","Asian","Male"
"The Last King of Scotland",2006,17600000,"Kevin Macdonald",1,"Other","African","Male"
"The Last of Robin Hood",2013,270000,"Richard Glatzer, Wash Westmoreland",1,"Actor","White","Male"
"The Last Ride",2012,NA,"Harry Thomason",1,"Musician",NA,"Male"
"The Last Station",2009,6620000,"Michael Hoffman",1,"Author","White","Male"
"The Last Time I Committed Suicide",1997,12800,"Stephen Kay",1,"Author",NA,"Male"
"The Lawless Breed",1953,NA,"Raoul Walsh",1,"Criminal",NA,"Male"
"The Left Handed Gun",1958,NA,"Arthur Penn",1,"Criminal","White","Male"
"The Life and Death of Peter Sellers",2004,NA,"Stephen Hopkins",1,"Actor","White","Male"
"The Life of Emile Zola",1937,NA,"William Dieterle",1,"Author","White","Male"
"The Long Day Closes",1992,22800,"Terence Davies",1,"Other","White","Male"
"The Long Gray Line",1955,NA,"John Ford",1,"Military","White","Male"
"The Longshots",2008,11500000,"Fred Durst",1,"Athlete","African","Female"
"The Look of Love",2013,10400,"Michael Winterbottom",1,"Other",NA,"Male"
"The Lover",1992,4900000,"Jean-Jacques Annaud",1,"Other","White","Female"
"The Madness of King George",1994,15200000,"Nicholas Hytner",1,"Historical","White","Male"
"The Magic Box",1951,NA,"John Boulting",1,"Other",NA,"Male"
"The Man Who Saw Tomorrow",1981,NA,"Robert Guenette",1,"Academic","White","Male"
"The Message",1977,NA,"Moustapha Akkad",1,"Historical","Middle Eastern","Male"
"The Miracle Maker",2000,NA,"Derek W. Hayes, Stanislav Sokolov",1,"Historical","Middle Eastern","Male"
"The Miracle Worker",1962,NA,"Arthur Penn",2,"Other","White","Female"
"The Miracle Worker",1962,NA,"Arthur Penn",2,"Other","White","Female"
"The Motorcycle Diaries",2004,16800000,"Walter Salles",1,"Activist","Hispanic","Male"
"The Music Lovers",1970,NA,"Ken Russell",1,"Musician","White","Male"
"The New World",2005,12700000,"Terrence Malick",1,"Historical","Native American","Female"
"The Night We Called It a Day",2003,NA,"Paul Goldman",1,"Singer","White","Male"
"The Notorious Bettie Page",2005,1410000,"Mary Harron",1,"Other","Multi racial","Female"
"The Other Boleyn Girl",2008,26800000,"Justin Chadwick",2,"Historical","White","Female"
"The Other Boleyn Girl",2008,26800000,"Justin Chadwick",2,"Historical","White","Female"
"The Other Side of Heaven",2001,4720000,"Mitch Davis",1,"Other",NA,"Male"
"The Other Side of the Mountain",1975,NA,"Larry Peerce",1,"Athlete",NA,"Female"
"The People vs. Larry Flynt",1996,20200000,"Milos Forman",1,"Activist","White","Male"
"The Perils of Pauline",1947,NA,"George Marshall",1,"Actress",NA,"Female"
"The Pianist",2002,32500000,"Roman Polanski",1,"Musician","White","Male"
"The Pistol: The Birth of a Legend",1991,NA,"Frank C. Schr<U+0326>der",1,"Athlete","White","Male"
"The Plainsman",1936,NA,"Cecil B. DeMille",1,"Historical","White","Male"
"The Pride of the Yankees",1942,NA,"Sam Wood",1,"Athlete","White","Male"
"The Prince of Egypt",1998,1.01e+08,"Brenda Chapman, Steve Hickner",2,"Historical","Middle Eastern","Male"
"The Prince of Egypt",1998,1.01e+08,"Brenda Chapman, Steve Hickner",2,"Historical","Middle Eastern","Male"
"The Prisoner of Shark Island",1936,NA,"John Ford",1,"Medicine","White","Male"
"The Private Life of Henry VIII.",1933,NA,"Alexander Korda",1,"Historical","White","Male"
"The Private Lives of Elizabeth and Essex",1939,NA,"Michael Curtiz",2,"Historical","White","Female"
"The Private Lives of Elizabeth and Essex",1939,NA,"Michael Curtiz",2,"Historical","White","Male"
"The Prize Winner of Defiance, Ohio",2005,626000,"Jane Anderson",1,"Other",NA,"Female"
"The Pursuit of Happyness",2006,1.63e+08,"Gabriele Muccino",1,"Other","African","Male"
"The Queen",2006,56400000,"Stephen Frears",1,"Historical","White","Female"
"The Railway Man",2013,4440000,"Jonathan Teplitzky",1,"Military",NA,"Male"
"The Red Baron",2008,36600,"Nikolai M<cc><c4><e5>_llersch<cc><c4><e5><U+00A6>n",1,"Military","White","Male"
"The Rocket: The Legend of Rocket Richard",2005,NA,"Charles Binam<cc><c4><e5><U+00A9>",1,"Athlete","White","Male"
"The Runaways",2010,3570000,"Floria Sigismondi",2,"Musician","White","Female"
"The Runaways",2010,3570000,"Floria Sigismondi",2,"Musician",NA,"Female"
"The Sessions",2012,6e+06,"Ben Lewin",1,"Medicine",NA,"Male"
"The Seven Little Foys",1955,NA,"Melville Shavelson",1,"Actor","White","Male"
"The Singing Nun",1966,NA,"Henry Koster",1,"Musician","White","Female"
"The Social Network",2010,96900000,"David Fincher",1,"Other",NA,"Male"
"The Soloist",2009,31700000,"Joe Wright",2,"Musician","African","Male"
"The Soloist",2009,31700000,"Joe Wright",2,"Media",NA,"Male"
"The Song of Bernadette",1943,NA,"Henry King",1,"Other","White","Female"
"The Soul Keeper",2002,NA,"Roberto Faenza",2,"Academic","White","Male"
"The Soul Keeper",2002,NA,"Roberto Faenza",2,"Academic","White","Female"
"The Sound of Music",1965,1.63e+08,"Robert Wise",1,"Singer","White","Female"
"The Spirit of St. Louis",1957,NA,"Billy Wilder",1,"Other","White","Male"
"The Story of Alexander Graham Bell",1939,NA,"Irving Cummings",1,"Academic","White","Male"
"The Story of Louis Pasteur",1936,NA,"William Dieterle",1,"Academic","White","Male"
"The Story of Vernon and Irene Castle",1939,1120000,"H.C. Potter",2,"Artist",NA,"Female"
"The Story of Vernon and Irene Castle",1939,1120000,"H.C. Potter",2,"Artist",NA,"Male"
"The Straight Story",1999,6200000,"David Lynch",1,"Other",NA,"Male"
"The Stratton Story",1949,NA,"Sam Wood",1,"Athlete",NA,"Male"
"The Ten Commandments",1956,8e+07,"Cecil B. DeMille",1,"Historical","Middle Eastern","Male"
"The Theory of Everything",2014,35900000,"James Marsh",1,"Academic","White","Male"
"The Toast of New York",1937,NA,"Rowland V. Lee",1,"Criminal","White","Male"
"The Trials of Oscar Wilde",1960,NA,"Ken Hughes",1,"Author","White","Male"
"The True Story of Jesse James",1957,NA,"Nicholas Ray",1,"Criminal","White","Male"
"The Unsinkable Molly Brown",1964,NA,"Charles Walters",1,"Other","White","Female"
"The Visual Bible: The Gospel of John",2003,4070000,"Philip Saville",1,"Historical","Middle Eastern","Male"
"The Whistleblower",2010,1120000,"Larysa Kondracki",1,"Other","White","Female"
"The Whole Wide World",1996,137000,"Dan Ireland",2,"Author","White","Male"
"The Whole Wide World",1996,137000,"Dan Ireland",2,"Author","Multi racial","Female"
"The Wings of Eagles",1957,NA,"John Ford",1,"Military",NA,"Male"
"The Winning Team",1952,NA,"Lewis Seiler",1,"Athlete","White","Male"
"The Wizard of Speed and Time",1988,NA,"Mike Jittlov",1,"Other",NA,"Male"
"The Wolf of Wall Street",2013,1.17e+08,"Martin Scorsese",1,"Criminal",NA,"Male"
"The Wonderful World of the Brothers Grimm",1961,NA,"Henry Levin, George Pal",2,"Author","White","Male"
"The Wonderful World of the Brothers Grimm",1961,NA,"Henry Levin, George Pal",2,"Author","White","Male"
"The World's Fastest Indian",2005,5130000,"Roger Donaldson",1,"Athlete","White","Male"
